Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"‘Imagineering’ Mixed Reality (MR) Immersive Experiences in the Postdigital Revolution: Innovation, Collectivity, Participation and Ethics in Staging Experiments as Performances","Demetriou (Yiota), Panayiota A.","International Journal of Performance Arts and Digital Media",="20400934",,"January 1, 2018","14","2","169",,"202120712714","10.1080/14794713.2018.1511138","Intellect Books","journal article","humanities; technology and media; digital humanities; performance",,"At the frontiers of our technoculture and experience economy, artist-researchers as catalytic agents become Imagineers and entrepreneurs of themselves. Arts are quantified in expectations of extending forms of communication with people and our environments, by creating humanistic ways of interfacing with machines. Within the experience economy the term ‘immersion’ is overused trending towards VR, which has troubled many researchers and practitioners across disciplines. Drawing on perspectives from performance studies, digital humanities, and human-computer interaction (HCI), this paper reviews the role of XR-enabling technologies, beyond VR, in designing immersive experiences, and their integration into performance practices. It discusses the shift of the artist’s role in imagineering new resources and new ways of working to immerse audiences, and it evaluates this in a postdigital context. It discusses how immersion operates, and critiques components necessary to create affective environments in terms of audience engagement, agency, participation, involvement, presence, embodiment and interaction. The article discusses how performance as a lab can act as a method of inquiry by bringing the anthropological, performative and theatrical perspectives; and the ethics of to testing immersive-enabling technologies and/or experiences within the context of live performances.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=202120712714&site=ehost-live"
"“A community of common descent”: Planning the documentation of diaspora through the Electronic Irish Research Experience.","Edwards, Julie Biando; McCrea, Donna E.","College & Undergraduate Libraries",="10691316",,="Apr-Dec2017","24","2-4","290","10","126288231","10.1080/10691316.2017.1324336","Taylor & Francis Ltd","Article","Academic libraries; Crowdsourcing; Libraries; Institute of Museum & Library Services (U.S.); Libraries and Archives; Commercial and Institutional Building Construction; Libraries; Digital humanities","Collaboration; digital humanities; Irish heritage; platform evaluation; project planning; sustainability","In 2014, the Maureen and Mike Mansfield Library at the University of Montana–Missoula was awarded a one-year National Leadership planning grant from the Institute of Museum and Library Services (IMLS) to explore the development of EIRE, the Electronic Irish Research Experience. EIRE was conceived as a digital humanities project to address gaps in the scholarship on the Irish in the United States by bringing private and institutional archival collections together online. Throughout the planning year, the Mansfield Library and its partners refined the scope of EIRE, prioritized certain aspects of the project over others, and grappled with questions of sustainability, accessibility, and resource allocation. This article shares our vision, process, results, and lessons learned. [ABSTRACT FROM AUTHOR] Copyright of College & Undergraduate Libraries is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=126288231&site=ehost-live"
"“How Can We Know the Dancer from the Dance?” Intention and the Preservation of Digital Objects.","Morrissey, Sheila M.","New Review of Information Networking",="13614576",,="May2014","19","1","1","15","95661028","10.1080/13614576.2014.883935","Taylor & Francis Ltd","Article","Digital preservation; Software engineering; Client/server computing; Digital humanities; Hypertext literature","computing history; digital humanities; digital preservation; software engineering","This article considers some of the issues created in the preservation of digital artifacts by the entanglement of object creator, mediating processes, and object viewer. This includes the relationship between format and software characterization, the sometimes complex manner in which software engineering practice, even best practice, complicates the use and intelligibility of software over the long term, and the need to preserve not just versions, but also variant renderings of the same version of an artifact. [ABSTRACT FROM AUTHOR] Copyright of New Review of Information Networking is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=95661028&site=ehost-live"
"“Ignore Them and They Will Come”: Attracting Students to Academic Library Events.","Andrews, Elizabeth","Public Services Quarterly",="15228959",,="Apr-Jun2014","10","2","150","7","96086860","10.1080/15228959.2014.904211","Taylor & Francis Ltd","Article","United States; State University of New York College at Potsdam; Colleges, Universities, and Professional Schools; Digital humanities; Lectures & lecturing -- Universities & colleges; College students; University faculty",,"The article discusses the digital humanities lectures hosted by the Potsdam College Libraries at State University of New York in postdam, New York during the fall semesters of 2012 and 2013. Topics discussed include a table showing demographics and total number of attendees for the lectures, involvement of the college faculty in promoting the lectures among college students, and tables showing the results of the Outreach Campaigns to attract students and faculty for the lecture and workshops.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=96086860&site=ehost-live"
"„Möchten Sie das Programm wirklich löschen?"": Warum sich die Geisteswissenschaften mit der Nachhaltigkeit von Forschungssoftware auseinandersetzen sollten.","Hörnschemeyer, Jörg","Quellen und Forschungen aus Italienischen Archiven und Bibliotheken",="00799068",,="2019","99","1","491","11","139808401","10.1515/qufiab-2019-0019","De Gruyter","Article","Algorithms; Computer software development; Electronic data processing; Custom Computer Programming Services; Computer systems design and related services (except video game design and development); Data Processing, Hosting, and Related Services; Digital humanities; Humanities",,"Nucleo centrale dei digital humanities (DH) è lo sviluppo e l'analisi di metodi digitali che sono finalizzati a risolvere quesiti posti nell'ambito delle scienze umanistiche. La creazione di software ne costituisce un elemento fondamentale. Mentre i dati raccolti sono di regola punto di partenza e d'arrivo della ricerca, i processi trasformativi che, basati su calcoli algoritmici, conducono dall'uno all'altro, rappresentano lo sforzo intellettuale decisivo e vanno considerati il vero risultato scientifico. Il software dedicato alla ricerca scientifica nasce di solito nel corso di un processo creativo e combinatorio molto complesso che dipende da molteplici legami con altre risorse. Il ciclo di vita del software in questione è molto più breve e molto più soggetto a influenze esterne rispetto a quello dei classici dati di ricerca. Come forma particolare dei dati di ricerca, il software pone pertanto sfide particolari al processo di sviluppo e a una gestione sostenibile dei dati. Il riconoscimento del software come risultato di ricerca, la creazione di strutture istituzionali che offrono opportunità di carriera agli sviluppatori e alle sviluppatrici, e l'integrazione del software in infrastrutture sostenibili di dati di ricerca sono la chiave per un'attività di ricerca più trasparente e più qualificata. The Digital Humanities (DH) can be regarded as the development and exploration of digital methods for answering research questions in the humanities. In this context, software development is a central part of humanities research. While data is usually the starting and end point of a research process, the intermediate transformation process formulated by algorithms is the main intellectual achievement and can thus also be regarded as a genuine scientific output. Software development is a highly complex, creative and combinatorial process characterized by numerous dependencies on other resources. In contrast to classic research data, the life cycle of research software is much shorter and far more susceptible to external influences. As a special instance of research data, software therefore poses special challenges for the development process and for sustainable data management. The appreciation of software as a research output, the creation of institutional structures for reliable career paths and the integration of software into sustainable research data infrastructures are the keys to more transparent and qualitatively improved research practice. [ABSTRACT FROM AUTHOR] Copyright of Quellen und Forschungen aus Italienischen Archiven und Bibliotheken is the property of De Gruyter and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=139808401&site=ehost-live"
"A Benchmark Dataset for Repetitive Pattern Recognition on Textured 3D Surfaces.","Lengauer, Stefan; Sipiran, Ivan; Preiner, Reinhold; Schreck, Tobias; Bustos, Benjamin","Computer Graphics Forum",="01677055",,="Aug2021","40","5","1","8","152037992","10.1111/cgf.14352","Wiley-Blackwell","Article","AUTOMATIC identification; DIGITAL humanities; SOURCE code; CULTURAL property; GEOMETRIC analysis; Historical Sites","CCS Concepts; Computing methodologies → Image processing; General and reference → Metrics; Information systems → Evaluation of retrieval results; Retrieval efficiency","In digital archaeology, a large research area is concerned with the computer‐aided analysis of 3D captured ancient pottery objects. A key aspect thereby is the analysis of motifs and patterns that were painted on these objects' surfaces. In particular, the automatic identification and segmentation of repetitive patterns is an important task serving different applications such as documentation, analysis and retrieval. Such patterns typically contain distinctive geometric features and often appear in repetitive ornaments or friezes, thus exhibiting a significant amount of symmetry and structure. At the same time, they can occur at varying sizes, orientations and irregular placements, posing a particular challenge for the detection of similarities. A key prerequisite to develop and evaluate new detection approaches for such repetitive patterns is the availability of an expressive dataset of 3D models, defining ground truth sets of similar patterns occurring on their surfaces. Unfortunately, such a dataset has not been available so far for this particular problem. We present an annotated dataset of 82 different 3D models of painted ancient Peruvian vessels, exhibiting different levels of repetitiveness in their surface patterns. To serve the evaluation of detection techniques of similar patterns, our dataset was labeled by archaeologists who identified clearly definable pattern classes. Those given, we manually annotated their respective occurrences on the mesh surfaces. Along with the data, we introduce an evaluation benchmark that can rank different recognition techniques for repetitive patterns based on the mean average precision of correctly segmented 3D mesh faces. An evaluation of different incremental sampling‐based detection approaches, as well as a domain specific technique, demonstrates the applicability of our benchmark. With this benchmark we especially want to address the geometry processing community, and expect it will induce novel approaches for pattern analysis based on geometric reasoning like 2D shape and symmetry analysis. This can enable novel research approaches in the Digital Humanities and related fields, based on digitized 3D Cultural Heritage artifacts. Alongside the source code for our evaluation scripts we provide our annotation tools for the public to extend the benchmark and further increase its variety. [ABSTRACT FROM AUTHOR] Copyright of Computer Graphics Forum is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=152037992&site=ehost-live"
"A Brief Taxonomy of Prototypes for the Digital Humanities.","Ruecker, Stan","Scholarly & Research Communication",="19230702",,="2015",,,"1","11","110574952",,"CISP Press","Article","PROTOTYPES; DIGITAL humanities","Design; Digital humanities; Prototype; Provotype","In principle and in practice, the use of prototypes in the companion ""interdisciplines"" of design and the digital humanities is perhaps surprisingly similar, given the many other differences that exist between the two fields. However, in both cases there are important distinctions to be made between various categories of prototypes. In general, there are three categories of prototype, which are intended for experiment, development, and provocation respectively. Although it might be argued that the overlap between these three groups renders them useless, if they are construed correctly, it becomes clear that the distinctions are not only meaningful, but can also be suggestive of new methods of working. [ABSTRACT FROM AUTHOR] Copyright of Scholarly & Research Communication is the property of CISP Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=110574952&site=ehost-live"
"A Comparator for the First and Second Editions of John Milton’s Paradise Lost","Cunningham, Richard","Renaissance and Reformation/Renaissance et Réforme",="0034429X",,"June 1, 2021","44","3","45",,"202226594451","10.33137/rr.v44i3.37990","Centre for Reformation and Renaissance Studies, University of Toronto","journal article","English literature; 1600-1699; Milton, John ((1608-1674)); Paradise Lost ((1667)); poetry; variant editions; digital humanities",,"In this article, Cunningham offers a non-programmer’s approach to building a means of examining the differences between the ten-book first edition of Paradise Lost and the subsequent twelve-book second edition. The Comparator referenced in the article title will form part of what, in effect, will be a new kind of online scholarly edition, one that facilitates student annotations of texts while also asking salient questions about how the commonplace tool of a web browser might help transform how we interact with texts. Cunningham’s workflow in building the Comparator suggests that this kind of successful and useful digital humanities work can be achieved with modest means and only a modest level of DH knowledge. (English) [ABSTRACT FROM AUTHOR] Dans cet article, Cunningham propose une approche visant à examiner les différences entre la première édition, composée de dix livres, du Paradis perdu et la seconde édition, qui compte douze livres – approche destinée à des personnes qui n’ont pas de connaissances préalables en programmation. L’outil de comparaison mentionné dans le titre de l’article fera partie de ce qui sera en réalité un nouveau type d’édition savante en ligne, qui facilitera l’annotation des textes par les étudiants, tout en posant des questions pertinentes sur la façon dont l’outil banal qu’est le navigateur pourrait contribuer à transformer la façon dont nous interagissons avec les textes. Le processus d’élaboration de cet outil de comparaison par Cunningham suggère que ce type de travail peut être accompli avec des moyens modestes et un niveau limité de connaissances en humanités numériques. (French) [ABSTRACT FROM AUTHOR]","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=202226594451&site=ehost-live"
"A Computational Approach to Assessing Rhetorical Effectiveness: Agentic Framing of Climate Change in the Congressional Record, 1994–2016","Majdik, Zoltan P.","Technical Communication Quarterly",="15427625",,"July 1, 2019","28","3","207",,"202120527204","10.1080/10572252.2019.1601774","Lawrence Erlbaum","journal article","rhetoric and composition; discourse studies; public policy; public discourse; climate change; technical communication; discursive change; semantic context; diachronic linguistics; digital humanities; computational approach",,"The goal of this paper is to consider rhetorical effects as the propagation of rhetorical expressions across large sets of texts, measured by the extent to which rhetorical expressions, structures, or practices become replicated in texts and sites of rhetorical in(ter)vention. The paper draws on lines of scholarship in the digital humanities and computational rhetoric – primarily, sequential structuring of semantic contexts, semantic parsing of unstructured text, and diachronic tracking of textual expressions – to extend their conceptual and methodological insights into a computational framework for assessing rhetorical effectiveness. It offers a test case for this concept through an analysis of how Congress has framed human agency toward addressing climate change.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=202120527204&site=ehost-live"
"A Computational Approach to Assessing Rhetorical Effectiveness: Agentic Framing of Climate Change in the Congressional Record, 1994–2016.","Majdik, Zoltan P.","Technical Communication Quarterly",="10572252",,="Jul-Sep2019","28","3","207","16","137070690","10.1080/10572252.2019.1601774","Taylor & Francis Ltd","Article","CLIMATE change; DIGITAL humanities","Climate change; computational rhetoric; digital humanities; rhetorical effects","The goal of this paper is to consider rhetorical effects as the propagation of rhetorical expressions across large sets of texts, measured by the extent to which rhetorical expressions, structures, or practices become replicated in texts and sites of rhetorical in(ter)vention. The paper draws on lines of scholarship in the digital humanities and computational rhetoric – primarily, sequential structuring of semantic contexts, semantic parsing of unstructured text, and diachronic tracking of textual expressions – to extend their conceptual and methodological insights into a computational framework for assessing rhetorical effectiveness. It offers a test case for this concept through an analysis of how Congress has framed human agency toward addressing climate change. [ABSTRACT FROM AUTHOR] Copyright of Technical Communication Quarterly is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=137070690&site=ehost-live"
"A Conceptual Model of Chinese Oral Memory Based on Digital Humanities.","Deng, Jun; Wang, Ruan; Song, Xueyan; Zhang, Zishu","Library Trends",="00242594",,="Summer2020","69","1","N.PAG","1","147348060","10.1353/lib.2020.0019","Johns Hopkins University Press","Article","Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology); Research and Development in Biotechnology; Digital humanities; Conceptual models; Memory; Research & development",,"Digital humanities (DH) offers a creative perspective for the development and research of Chinese oral memory (COM). In this paper, based on the methods of digital humanities, the authors present a conceptual model for the development of COM and demonstrate how this fine-grained model facilitates categorizing the rich but scattered accounts in COM. The proposed model, which resembles a knowledge-related network, is useful for the multidimensional display of resources and is facilitative to in-depth explorations in COM research. Supplemented by visual examples, this model can demonstrate the aggregative and escalating processes (from data to information and then to knowledge linkage) of COM. This model provides assistance for scholars in this field to more efficiently approach COM research and enriches the research on oral memory (OM) of digital humanities at the same time. [ABSTRACT FROM AUTHOR] Copyright of Library Trends is the property of Johns Hopkins University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=147348060&site=ehost-live"
"A critical, analytical framework for the digital machine.","Hall, Crystal; Chown, Eric; Nascimento, Fernando","Interdisciplinary Science Reviews",="03080188",,="Dec 2021","46","4","458","19","153024043","10.1080/03080188.2020.1865659","Taylor & Francis Ltd","Article","DIGITAL humanities; OPEN-ended questions; SKEPTICISM; MACHINERY; BOWDOIN College; All Other Miscellaneous General Purpose Machinery Manufacturing; Industrial machinery, equipment and supplies merchant wholesalers; All other machinery, equipment and supplies merchant wholesalers","4As; Abstraction; analytical framework; computation; computational social sciences; digital humanities; epistemology; liberal arts","The Faculty of Digital and Computational Studies (DCS) at Bowdoin College proposes a critical, analytical framework, referred to as the '4As,' as an interdisciplinary means to interpret, evaluate, and create the data, operations, and devices of computing across all domains of knowledge production. Following other disciplines that have developed in symbiotic relationships to one another, DCS puts computation in conversation with fields from across the arts, humanities, physical, and social sciences. Our foundational premise is the bidirectional influence between these disciplines and digital artifacts and computation. The 4As (artifact, architecture, abstraction, and agency) benefit from both the scepticism of the liberal arts in the face of ubiquitous digital processes and the analytical opening for examining questions pertaining to creative and imaginative alternatives to the digital and computational status quo. We provide an ultra-contemporary case study to demonstrate the framework in use. [ABSTRACT FROM AUTHOR] Copyright of Interdisciplinary Science Reviews is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=153024043&site=ehost-live"
"A day in the life of a digital humanities network co-ordinator.","Kirkham, Ruth","Insights: the UKSG journal",="20487754",,="Jul2015","28","2","111","4","108469947","10.1629/uksg.238","Ubiquity Press","Article","Universities & colleges; Libraries; Email; University of Oxford; Commercial and Institutional Building Construction; Libraries and Archives; Libraries; Colleges, Universities, and Professional Schools; Digital humanities; Employees",,"The article presents the author's insights on her job as the University of Oxford's digital humanities network co-ordinator. Topics discussed include the digital humanities (DH) being done by the university, her tour at Weston Library after attending the meeting with the staff, and her response to e-mails related to the funding applications for DH.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=108469947&site=ehost-live"
"A DIGITAL HUMANITIES APPROACH TO FILM COLORS.","FLUECKIGER, BARBARA","Moving Image (15323978)",="15323978",,="Fall2017","17","2","71","24","131179190","10.5749/movingimage.17.2.0071","University of Minnesota Press","Article","Colors in motion pictures; Color in visual communication; Aesthetics of motion pictures; Digital humanities; Fechner, Gustav Theodor, 1801-1887",,"The article offers insight into the state of research in computer-assisted film color analysis and applications that are either available or in development. It mentions that the database-driven analysis of film color aesthetics, their affective qualities, and their narrative functions aim to identify diachronic aesthetic patterns. It also mentions that the planned computer-assisted tool for analyzing film colors derives has been derived by Gustav Theodor Fechner.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asu&AN=131179190&site=ehost-live"
